1;Gathering supplies;Pending;
1;Preparing soil;In progress;
1;Planting seeds;Completed;
2;Hiring contractors;Pending;Hiring scheduled for next week.
2;Renovation planning;In progress;Progress is on track.
2;Fundraising campaign;Completed;Campaign reached fundraising goal.
3;Youth outreach;Pending;Reaching out to local schools.
3;Workshop organization;In progress;Workshops start next month.
3;Program coordination;Completed;Program is running smoothly.
4;Cleanup logistics;Pending;Cleanup date confirmed.
4;Volunteer training;In progress;Training session details finalized.
4;Community engagement;Completed;Engagement exceeded expectations.
5;Artists' recruitment;Pending;
5;Stage setup;In progress;Stage setup completed.
5;Marketing strategy;Completed;Strategy resulted in high turnout.
6;Literacy class scheduling;Pending;Classes scheduled for next week.
6;Book distribution;In progress;Books distributed across libraries.
6;Reading sessions;Completed;
7;Shelter inventory;Pending;Inventory restock pending.
7;Support services;In progress;Support services expanded.
7;Volunteer recruitment;Completed;New volunteers recruited.
8;Elderly care coordination;Pending;Coordination ongoing.
8;Program evaluation;In progress;Evaluation in progress.
8;Infrastructure assessment;Completed;Infrastructure assessed.
9;Emergency response planning;Pending;Response plan in development.
9;Animal care training;In progress;
9;Shelter expansion;Completed;Expansion planning stage.
10;Entrepreneurship workshops;Pending;Workshops ongoing.
10;Cultural performers' coordination;In progress;Performers confirmed.
10;Venue setup;Completed;Venue setup underway.
11;Ticket sales management;Pending;
11;Language translation assistance;In progress;
11;IT support setup;Completed;IT setup progressing.
12;Event planning;Pending;Event planning underway.
12;Athlete recruitment;In progress;Athletes recruited.
12;Training sessions scheduling;Completed;Training sessions scheduled.
13;Disaster response training;Pending;Response training in progress.
13;Housing needs assessment;In progress;Needs assessment ongoing.
13;Health education workshops;Completed;
14;Community center renovation;Pending;Renovation underway.
14;Food distribution logistics;In progress;Distribution logistics ongoing.
14;Disaster response training;Completed;
15;Disaster response training;In progress;
16;Health education workshops;Pending;Classes scheduled for next week
15;Disaster response training;Completed;
16;Health education workshops;In progress;
17;Health education workshops;Pending;Classes scheduled for next week
18;Disaster response training;Completed;
19;Health education workshops;Pending;Training sessions scheduled.
17;Health education workshops;Completed;Training sessions scheduled.
18;Health education workshops;Completed;
